"id,location,num_lanes,is_oneway"
"4347,MCNICOLL AVE AT MIDDLEFIELD RD (PX 1582)"
"4350,ALBION RD AT ISLINGTON AVE (PX 717)"
"4351,ISLINGTON AVE AT REXDALE BLVD (PX 714)"
"4352,ISLINGTON AVE AT MILLWICK DR & MUIR AVE (PX 1199)"
"4353,ISLINGTON AVE AT SIX POINT RD"
"4354,ISLINGTON AVE AT WINNIPEG RD"
"4355,ISLINGTON AVE AT MONOGRAM PL (PX 1609)"
"4357,ADVANCE RD AT ISLINGTON AVE (PX 2257)"
"4358,FINCHLEY RD AT ISLINGTON AVE & ORRELL AVE"
"4359,ISLINGTON AVE AT SATTERLY RD (PX 1715)"
"4360,ISLINGTON AVE AT STEELES AVE (PX 1208)"
"4361,FINCH AVE AT HIGHWAY 400 W TCS (PX 1095)"
"4362,FINCH AVE AT HIGHWAY 400 E TCS (PX 809)"
"4363,AU LARGE BLVD AT FINCH AVE & SENECA HILL DR (PX 1183)"
"4365,ALEXMUIR BLVD AT CHARTLAND BLVD & FINCH AVE (PX 1179)"
"4366,FINCH AVE AT HEATHVIEW AVE & TOLLERTON AVE (PX 1070)"
"4367,CHEROKEE BLVD AT FINCH AVE (PX 1144)"
"4368,FINCH AVE AT HUMBER COLLEGE BLVD (PX 1496)"
"4369,FINCH AVE AT SENTINEL RD (PX 808)"
"4370,ALNESS ST AT CHAMPAGNE DR & FINCH AVE (PX 1000)"
"4372,FINCH AVE W AT SENLAC RD (PX 812)"
"4373,FINCH AVE AT KENNETH AVE (PX 1205)"
"4374,FINCH AVE AT JOHN GARLAND BLVD & SILVERSTONE DR (PX 1224)"
"4375,PORT UNION RD AT ROZELL RD"
"4376,KINGSTON RD AT PORT UNION RD & SHEPPARD AVE (PX 1201)"
"4377,CONFERENCE BLVD AT PORT UNION RD (PX 1901)"
"4378,HUMBERTOWN PLAZA AT ROYAL YORK & 45M N OF STRATH HUMBER (PX 1370)"
"4379,EDENBRIDGE DR AT ROYAL YORK RD (PX 1765)"
"4380,O CONNOR DR AT WOODBINE AVE (PX 446)"
"4381,KINGSTON RD AT WOODBINE AVE (PX 162)"
"4382,BURGESS AVE AT WOODBINE AVE"
"4385,HAROLD EVANS CRES AT MCNICOLL AVE & PLACER CRT (PX 1819)"
"4386,DUNDAS ST AT SCARLETT RD (PX 496)"
"4387,BERNICE CR AT SCARLETT RD"
"4388,SCARLETT RD AT ST CLAIR AVE (PX 2010)"
"4389,EILEEN AVE AT SCARLETT RD"
"4390,EAST DR AT SCARLETT RD (PX 782)"
"4391,EGLINTON AVE AT SCARLETT RD (PX 784)"
"4392,RICHVIEW RD AT SCARLETT RD"
"4393,LA ROSE AVE AT SCARLETT RD (PX 1891)"
"4395,STEELES AVE AT TAPSCOTT RD (PX 2062)"
